datetime,member,type,wordcount,lettercount
15.06.17 12:57:16,Ammu,text,2,9
15.06.17 13:05:06,Ammu,text,1,4
15.06.17 13:45:50,Ammu,text,1,5
15.06.17 13:46:21,Abhilash,text,1,13
15.06.17 13:48:39,Abhilash,text,5,24
15.06.17 14:09:46,Ammu,text,1,4
15.06.17 16:06:09,Ammu,text,1,12
15.06.17 16:06:51,Abhilash,text,1,5
15.06.17 16:07:19,Ammu,text,1,11
15.06.17 16:07:32,Abhilash,text,1,9
15.06.17 16:07:42,Ammu,text,1,5
15.06.17 13:47:43,Ammu,text,3,22
15.06.17 12:57:35,Ammu,text,3,17
15.06.17 16:07:54,Abhilash,text,2,9
15.06.17 16:08:15,Ammu,text,3,19
15.06.17 16:08:04,Ammu,text,3,27
15.06.17 16:08:32,Abhilash,text,1,8
15.06.17 16:08:56,Ammu,text,4,25
15.06.17 16:09:18,Abhilash,text,3,25
15.06.17 12:56:37,Abhilash,text,1,8
15.06.17 13:04:35,Abhilash,text,2,12
15.06.17 16:09:32,Ammu,text,1,18
15.06.17 16:09:38,Ammu,text,2,12
15.06.17 16:10:03,Abhilash,text,3,19
15.06.17 16:10:23,Ammu,text,2,7
15.06.17 16:10:42,Abhilash,text,3,14
15.06.17 16:11:00,Ammu,text,2,12
15.06.17 16:24:02,Abhilash,text,1,7
15.06.17 16:24:29,Ammu,text,1,10
15.06.17 16:25:11,Abhilash,text,3,17
15.06.17 16:24:48,Ammu,text,6,36
15.06.17 16:32:04,Ammu,text,3,23
15.06.17 16:31:14,Abhilash,text,3,26
15.06.17 16:33:22,Abhilash,text,3,18
15.06.17 16:34:08,Ammu,text,4,22
15.06.17 16:32:43,Abhilash,text,4,25
15.06.17 16:59:52,Abhilash,text,2,9
15.06.17 16:59:16,Ammu,text,9,40
15.06.17 17:00:42,Ammu,text,4,34
15.06.17 16:59:58,Abhilash,text,2,11
15.06.17 17:00:19,Ammu,text,1,10
15.06.17 16:30:40,Ammu,text,5,28
15.06.17 17:02:35,Ammu,text,5,33
15.06.17 17:01:42,Ammu,text,3,14
15.06.17 17:02:15,Abhilash,text,3,21
15.06.17 17:02:58,Ammu,text,4,26
15.06.17 17:53:43,Abhilash,text,2,10
15.06.17 17:53:02,Ammu,text,4,19
15.06.17 17:46:09,Abhilash,text,1,4
15.06.17 17:00:46,Abhilash,text,2,9
15.06.17 17:54:06,Ammu,text,7,46
15.06.17 17:54:38,Abhilash,text,1,16
15.06.17 17:55:18,Ammu,text,1,5
15.06.17 17:56:29,Abhilash,text,10,47
15.06.17 17:56:42,Ammu,text,2,8
15.06.17 17:56:53,Abhilash,text,1,4
15.06.17 17:57:27,Ammu,text,3,13
15.06.17 18:08:15,Abhilash,text,1,4
15.06.17 17:57:46,Ammu,text,6,38
15.06.17 18:09:53,Ammu,text,1,9
15.06.17 17:02:53,Abhilash,text,1,4
15.06.17 18:12:43,Abhilash,text,1,5
15.06.17 18:15:01,Ammu,text,4,13
15.06.17 20:04:54,Abhilash,text,1,5
15.06.17 17:57:12,Abhilash,text,4,29
15.06.17 20:08:00,Abhilash,text,1,5
15.06.17 20:20:04,Ammu,text,1,17
15.06.17 20:11:19,Abhilash,text,2,15
15.06.17 20:09:17,Ammu,text,1,4
15.06.17 21:59:05,Abhilash,text,1,5
15.06.17 22:00:53,Ammu,text,1,5
15.06.17 22:01:10,Abhilash,text,1,7
15.06.17 22:01:36,Ammu,text,1,6
15.06.17 22:02:38,Abhilash,text,2,11
15.06.17 22:02:56,Ammu,text,1,5
15.06.17 22:05:25,Abhilash,text,2,11
15.06.17 22:06:02,Ammu,text,1,6
15.06.17 22:09:59,Abhilash,text,1,6
15.06.17 22:10:05,Abhilash,text,1,7
15.06.17 22:10:28,Ammu,text,2,13
15.06.17 22:12:43,Ammu,text,1,5
15.06.17 22:12:27,Abhilash,text,1,4
15.06.17 22:00:57,Ammu,text,1,10
15.06.17 22:12:54,Abhilash,text,4,22
15.06.17 22:13:05,Abhilash,text,5,14
15.06.17 22:13:29,Ammu,text,4,21
15.06.17 22:10:35,Ammu,text,4,18
15.06.17 22:14:23,Abhilash,text,3,18
15.06.17 22:14:12,Abhilash,text,1,8
15.06.17 20:05:31,Ammu,text,1,13
15.06.17 22:15:53,Abhilash,text,1,10
15.06.17 22:17:29,Abhilash,text,2,6
15.06.17 22:17:38,Abhilash,text,2,10
15.06.17 22:14:53,Abhilash,text,6,38
15.06.17 22:18:39,Abhilash,text,3,20
